Postalcode,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Rouge, Malvern",43.811390000000074,-79.19661999999994
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.78574000000003,-79.15874999999994
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.765750000000025,-79.17469999999997
M1G,Scarborough,Woburn,43.76812000000007,-79.21760999999998
M1H,Scarborough,Cedarbrae,43.76944000000003,-79.23891999999995
M1J,Scarborough,Scarborough Village,43.74446000000006,-79.23116999999996
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.725820000000056,-79.26460999999995
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.71289000000007,-79.28505999999999
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.72360000000003,-79.23495999999994
M1N,Scarborough,"Birch Cliff, Cliffside West",43.695100000000025,-79.26465999999994
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.75998000000004,-79.26939999999996
M1R,Scarborough,"Maryvale, Wexford",43.75075000000004,-79.30053999999996
M1S,Scarborough,Agincourt,43.794520000000034,-79.26707999999996
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.784910000000025,-79.29721999999998
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.817810000000065,-79.28043999999994
M1W,Scarborough,L'Amoreaux West,43.80079000000006,-79.32161999999994
M1X,Scarborough,Upper Rouge,43.83412000000004,-79.21667999999994
M2H,North York,Hillcrest Village,43.80225000000007,-79.35557999999997
M2J,North York,"Fairview, Henry Farm, Oriole",43.780970000000025,-79.34780999999998
M2K,North York,Bayview Village,43.781120000000044,-79.38059999999996
M2L,North York,"Silver Hills, York Mills",43.756980000000055,-79.38059999999996
M2M,North York,"Newtonbrook, Willowdale",43.79182000000003,-79.41371999999996
M2N,North York,Willowdale South,43.76774000000006,-79.40727999999996
M2P,North York,York Mills West,43.747780000000034,-79.40032999999994
